Species,Family,locomotion,hunting,diet,diet_functional,bayou_reg_size,bayou_reg_hbER,bayou_reg_headER,bayou_reg_AEI_S,bayou_reg_rib_sc,geomean,hbER,headER,bodyER,AEI_C,AEI_T,AEI_L,AEI_S,body_length,avgRibLength,ln_se_geomean,ln_se_hbER,ln_se_headER,ln_se_headER.1,ln_se_bodyER,ln_se_AEI_C,ln_se_AEI_T,ln_se_AEI_L,ln_se_AEI_S,ln_se_avgRibLength
Arctocephalus_philippii,11Otariidae,aquatic,aquatic,aquatic,aquatic,base,base,base,base,base,223.0117695,4.7855,3.15883327,3.899785714,4.150242571,7.984143476,3.508952774,2.050916012,1091.94,280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arctocephalus_pusillus,11Otariidae,aquatic,aquatic,aquatic,aquatic,base,base,base,base,base,223.5512812,4.274499359,2.743354179,3.506979631,3.757129039,8.325322271,3.404477747,2.16769228,1069.83,305.3666667,0.150799544,0.040703844,0.047849468,0.047849468,0.040169627,0.026468449,0.076226159,0.034336455,0.015064578,0.137161588
Callorhinus_ursinus,11Otariidae,aquatic,aquatic,aquatic,aquatic,base,base,base,base,base,192.7858978,4.287043796,2.882857545,3.538868613,4.238798992,8.991863576,4.316751722,2.20496194,969.65,274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eumetopias_jubatus,11Otariidae,aquatic,aquatic,aquatic,aquatic,base,base,base,base,base,374.2198259,4.764139411,2.936970582,3.999071684,4.303606233,7.613437676,3.337325059,2.061706922,1826.936667,455.6,0.103381804,0.019484696,0.092021196,0.092021196,0.023371132,0.042442847,0.040395235,0.042004195,0.083957052,0.061625611
Neophoca_cinerea,11Otariidae,aquatic,aquatic,aquatic,aquatic,base,base,base,base,base,255.0285875,4.179630156,2.881698686,3.368819346,3.725463483,8.27593864,2.44492245,1.728804726,1184.14,351.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Otaria_bryonia,11Otariidae,aquatic,aquatic,aquatic,aquatic,base,base,base,base,base,264.7698937,4.82325154,2.528930514,3.957047517,4.004614308,8.498667442,3.283526153,2.104261177,1262.735,316.15,0.378487129,0.004720595,0.027556664,0.027556664,0.027364409,0.074139216,0.042101706,0.002059151,0.027683683,0.360038004
Phocarctos_hookeri,11Otariidae,aquatic,aquatic,aquatic,aquatic,base,base,base,base,base,305.337633,4.262097064,2.911181161,3.509550629,4.399445392,7.756965213,3.313600168,1.793650794,1464.36,417.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zalophus_californianus,11Otariidae,aquatic,aquatic,aquatic,aquatic,base,base,base,base,base,287.1108596,4.686662274,2.910320225,3.927151434,4.203232553,8.777334816,3.263878246,1.820404483,1431.526667,363.5333333,0.100498325,0.025013368,0.045101543,0.045101543,0.025753057,0.010974576,0.031543649,0.021170429,0.041329449,0.075445177
Zalophus_wollebaeki,11Otariidae,aquatic,aquatic,aquatic,aquatic,base,base,base,base,base,235.7580571,4.469403563,2.94854117,3.720397504,4.177536266,9.631692971,3.139731202,1.730035365,1196.71,323.25,0.106751893,0.034980957,0.012039651,0.012039651,0.038057522,0.053178008,0.023270075,0.169993802,0.01828066,0.129882453
Cystophora_cristata,12Phocidae,aquatic,aquatic,aquatic,aquatic,base,monachinae,base,base,monachinae,262.9975306,4.644859375,2.842664689,3.926109375,4.115034079,7.7169242,3.155893536,1.966153846,1256.355,320,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Erignathus_barbatus,12Phocidae,aquatic,aquatic,aquatic,aquatic,base,base,base,base,base,279.5851702,5.357373254,2.592752422,4.639230845,4.081990087,8.754140749,3.262611937,2.021888968,1400.423333,302.8666667,0.061967636,0.022189827,0.048445433,0.048445433,0.018321483,0.022180145,0.027017404,0.008868152,0.032539323,0.093588342
Halichoerus_grypus,12Phocidae,aquatic,aquatic,aquatic,aquatic,base,monachinae,base,base,monachinae,276.4816861,5.471151607,3.090346363,4.482470442,4.512117527,7.161763339,2.846604592,1.917304771,1253.41,283.6,0.097071514,0.058068445,0.036901403,0.036901403,0.052374213,0.0664702,0.032452577,0.022902504,0.082059907,0.136467151
Histriophoca_fasciata,12Phocidae,aquatic,aquatic,aquatic,aquatic,base,monachinae,base,base,monachinae,216.0079153,4.754384511,2.778571429,3.951233964,4.698865228,6.407560482,2.67689468,1.571160787,956.995,242.3,0.015611617,0.005356115,0.033431472,0.033431472,0.004844799,0.052417747,0.06219601,0.035635932,0.078408628,0.041294608
Hydrurga_leptonyx,12Phocidae,aquatic,aquatic,aquatic,aquatic,base,base,base,base,base,361.0438274,6.615909508,3.573034472,5.438090476,4.516571655,7.530672874,4.598542885,1.774954556,1806.5,332.3,0.0348933,0.008358622,0.030269848,0.030269848,0.004886033,0.025831297,0.031803041,0.032944037,0.032297966,0.034621108
Leptonychotes_weddellii,12Phocidae,aquatic,aquatic,aquatic,aquatic,base,base,base,base,base,306.300721,6.334476256,3.269146284,5.408048025,4.492007311,9.517014284,3.780836831,1.559902721,1646.13,304.3,0.039346682,0.007214595,0.036444294,0.036444294,0.016906703,0.02081926,0.005449029,0.00610863,0.194026532,0.026295905
Lobodon_carcinophaga,12Phocidae,aquatic,aquatic,aquatic,aquatic,base,base,base,base,base,244.0084616,6.114607149,2.924219606,5.029950113,3.565110883,7.53138269,3.230287146,1.649891647,1157.975,230,0.045766448,0.020270377,0.071357143,0.071357143,0.024004717,0.010532348,0.012109033,0.004333874,0.191641237,0.039150425
Mirounga_angustirostris,12Phocidae,aquatic,aquatic,aquatic,aquatic,base,base,base,base,base,508.3456382,6.033700151,3.194009217,4.997875834,3.836885515,8.094881138,3.821674357,2.070068272,2532.07,508.65,0.010049207,0.059827288,0.016016374,0.016016374,0.069834423,0.032498036,0.042330266,0.035533727,0.118411828,0.056385247
Monachus_monachus,12Phocidae,aquatic,aquatic,aquatic,aquatic,base,base,base,base,base,331.5733043,5.973533835,3.051160879,5.080300752,4.395444786,8.261870848,3.499882244,2.12484994,1689.2,332.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
