Species,Family,locomotion,hunting,diet,diet2,diet_functional,bayou_reg_size,bayou_reg_hbER,bayou_reg_headER,bayou_reg_AEI_S,bayou_reg_rib_sc,geomean,hbER,headER,bodyER,AEI_C,AEI_T,AEI_L,AEI_S,hindlimb_len,forelimb_len,body_length,avgRibLength,ln_se_geomean,ln_se_hbER,ln_se_headER,ln_se_headER.1,ln_se_bodyER,ln_se_AEI_C,ln_se_AEI_T,ln_se_AEI_L,ln_se_AEI_S,ln_se_avgRibLength
Prionailurus_planiceps,03Felidae,terrestrial,pounce,carnivore,cat-hyper,vert_flesh,base,feliformia,base,base,feliformia,77.90960867,6.194542428,2.306580716,4.89595605,4.196269292,5.808905942,6.668027076,1.625190899,190.4,159.49,354.99,72.5,0.033373075,0.008289419,0.302408058,0.302408058,0.013557471,0.079078924,0.008453115,0.007138093,0.042964097,0.006896661
Prionailurus_rubiginosus,03Felidae,terrestrial,ambush,carnivore,cat-hyper,vert_flesh,base,feliformia,base,base,feliformia,66.57835279,5.504962406,2.430931459,4.464962406,3.434741704,4.817890013,6.10144809,1.366827254,166.87,138.83,296.92,66.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Prionailurus_viverrinus,03Felidae,terrestrial,pounce,carnivore,cat-hyper,vert_flesh,base,feliformia,base,base,feliformia,114.3311763,5.56300251,2.794215306,4.499215189,3.68223463,5.368319095,5.300477002,1.83927618,278.71,226.105,522.27,116.15,0.038394973,0.004509897,0.016756543,0.016756543,0.00730712,0.027022581,0.027324849,0.039309792,0.051804779,0.052998338
Puma_concolor,03Felidae,semi_arboreal,ambush,carnivore,cat-hyper,vert_flesh,base,feliformia,base,base,feliformia,195.1284743,5.383835481,2.883773313,4.459115978,3.625089962,4.956417337,4.792156621,1.808400912,507,408.4,891.1236198,201.86,0.039889592,0.038956079,0.004961231,0.004961231,0.040837438,0.021764295,0.031430115,0.02690506,0.024168226,0.069431218
Arctictis_binturong,04Viverridae,arboreal,occasional,herbivore,mesocarnivore,soft,base,feliformia,base,base,feliformia,118.044899,4.923953061,3.42546942,3.853033689,3.57933124,6.566014626,4.316873251,1.295480566,250.1775,243.3325,503.2675,130.95,0.036746734,0.054170164,0.028107065,0.028107065,0.059886687,0.044488174,0.033857446,0.047666285,0.098683353,0.035722741
Arctogalidia_trivirgata,04Viverridae,arboreal,occasional,omnivore,mesocarnivore,generalist,base,feliformia,base,base,feliformia,80.55540372,6.286623377,2.909456201,4.876103896,4.536442688,7.681930909,5.396773918,1.864101022,179.28,140.8,375.46,77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chrotogale_owstoni,04Viverridae,semi_arboreal,occasional,omnivore,omnivore,invertebrates,base,feliformia,base,base,feliformia,88.99676296,6.503803681,3.563743071,5.162699387,4.965736041,5.913389851,6.044222238,1.866275972,184.61,153.91,420.76,81.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Civettictis_civetta,04Viverridae,terrestrial,pounce,omnivore,mesocarnivore,generalist,base,feliformia,base,base,feliformia,135.9648848,5.021456458,3.539307495,4.00620217,4.299227725,5.330679625,5.030491341,1.686927344,277.655,237.065,606.8225,151.425,0.026585154,0.008451689,0.068535094,0.068535094,0.012971296,0.017504638,0.068225253,0.033761356,0.049708753,0.031384972
Cynogale_bennettii,04Viverridae,semi_aquatic,aquatic,aquatic,omnivore,invertebrates,base,feliformia,base,base,feliformia,96.02389852,5.3786,3.342126697,4.22045,4.147508316,5.983724267,4.178640316,1.895658924,186.915,155.69,422.045,100,0.015079901,0.01652997,0.039601795,0.039601795,0.015580168,0.0235237,0.026637595,0.038056458,0.039196882,0
Genetta_angolensis,04Viverridae,semi_arboreal,pounce,omnivore,mesocarnivore,generalist,base,genetta,base,base,feliformia,76.03108737,6.832301887,3.218096611,5.484830189,4.881375864,5.900735825,6.274789523,1.699017199,194.49,156.74,363.37,66.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Genetta_genetta,04Viverridae,semi_arboreal,pounce,carnivore,mesocarnivore,vert_flesh,base,genetta,base,base,feliformia,70.33169636,6.687968392,3.446150131,5.285152078,4.223636478,5.904803798,6.259384371,1.698151547,161.766,133.688,329.392,62.38,0.025742857,0.018888268,0.00904378,0.00904378,0.020033089,0.039991789,0.018686991,0.047570906,0.069810141,0.02780258
Genetta_maculata,04Viverridae,semi_arboreal,pounce,carnivore,mesocarnivore,vert_flesh,base,genetta,base,base,feliformia,72.15436279,6.815517457,3.246975828,5.444174392,4.525858365,6.010855243,6.26752318,1.830344242,165.6925,132.305,345.6175,63.45,0.03482457,0.018455549,0.012132811,0.012132811,0.020164943,0.020454357,0.026737598,0.019269296,0.031468431,0.029297392
Genetta_servalina,04Viverridae,terrestrial,pounce,carnivore,mesocarnivore,vert_flesh,base,genetta,base,base,feliformia,73.50449158,7.909603524,3.314814815,6.332511013,4.782888954,6.128212606,6.815305049,1.533094812,172.78,135.92,359.37,56.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Genetta_thierryi,04Viverridae,semi_arboreal,pounce,omnivore,mesocarnivore,generalist,base,genetta,base,base,feliformia,65.38830793,6.520005188,3.143813827,5.194320399,4.339475796,6.120596044,5.999628755,1.942929367,151.86,117.595,311.88,60.15,0.018207598,0.080861415,0.016613764,0.016613764,0.094562728,0.013043591,0.094683377,0.194600817,0.040725582,0.014132279
Genetta_tigrina,04Viverridae,semi_arboreal,pounce,omnivore,mesocarnivore,generalist,base,genetta,base,base,feliformia,74.32491143,6.174125874,3.377421759,4.906293706,4.355891997,5.874991084,6.291518998,1.826855124,168.5,142.4,350.8,71.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Genetta_victoriae,04Viverridae,semi_arboreal,pounce,omnivore,mesocarnivore,generalist,base,genetta,base,base,feliformia,82.35214498,6.598926174,3.707368421,5.180671141,4.175156667,6.095548034,5.91020963,1.653158522,181.44,156.41,385.96,74.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hemigalus_derbyanus,04Viverridae,semi_arboreal,occasional,insectivore,omnivore,invertebrates,base,feliformia,base,base,feliformia,75.51182824,6.321111111,3.572226359,4.988472222,5.00203252,6.336701119,6.152680653,1.948666667,163.23,136.91,359.17,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Paguma_larvata,04Viverridae,semi_arboreal,pounce,omnivore,mesocarnivore,generalist,base,feliformia,base,base,feliformia,96.56679461,5.804904085,3.540134605,4.502719195,4.037742759,5.811825558,5.114191278,1.873678035,201.815,169.93,423.84,94.75,0.091104674,0.052524521,0.004297176,0.004297176,0.057758347,0.094266865,0.080147458,0.145773434,0.047197493,0.113947077
Paradoxurus_hermaphroditus,04Viverridae,arboreal,occasional,herbivore,mesocarnivore,soft,base,feliformia,base,base,feliformia,82.96261742,6.237964292,3.314410665,4.825193714,4.044004193,5.797324296,5.43268383,1.659528592,170.66,144.3833333,365.49,75.7,0.06798484,0.021162856,0.021547478,0.021547478,0.024984066,0.039202043,0.038710536,0.03868357,0.101446938,0.071526385
Paradoxurus_zeylonensis,04Viverridae,arboreal,occasional,herbivore,mesocarnivore,soft,base,feliformia,base,base,feliformia,87.06124865,5.880969697,3.235294118,4.547636364,4.036755972,5.844194926,5.059624791,1.566829268,180.7,148,375.18,82.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Viverra_tangalunga,04Viverridae,terrestrial,pounce,omnivore,mesocarnivore,generalist,base,feliformia,base,base,feliformia,100.4294412,5.596540153,3.63192614,4.476308883,4.455462725,5.913166988,5.027115265,1.814450471,194.9625,160.725,466.705,104.25,0.018218234,0.024670491,0.022632213,0.022632213,0.030409459,0.013994634,0.040459682,0.045582689,0.117999552,0.021848963
Viverra_zibetha,04Viverridae,terrestrial,pounce,omnivore,mesocarnivore,generalist,base,feliformia,base,base,feliformia,130.4468513,5.685907236,3.407242925,4.584051948,4.251274653,5.430174632,5.040249785,1.621265742,259.265,206.5,589.585,128.65,0.012681904,0.011624485,0.048695114,0.048695114,0.00137769,0.012546404,0.027987778,0.080845514,0.038545616,0.047840584
Viverricula_indica,04Viverridae,semi_arboreal,pounce,omnivore,mesocarnivore,vert_flesh,base,feliformia,base,base,feliformia,88.38304365,6.00968268,3.349143681,4.840462962,4.365340018,5.812817797,5.111529547,1.627530845,175.18,135.245,402.855,83.9,0.043152676,0.079888888,0.004205583,0.004205583,0.075325533,0.004892725,0.007443072,0.025876894,0.080393132,0.102864255
Crocuta_crocuta,05Hyaenidae,terrestrial,pursuit,carnivore,cat-hyper,vert_flesh,base,hyaendiae,base,base,hyaendiae,219.1705886,3.416221067,2.373289211,2.6556441,3.759862621,4.572870087,2.057016691,2.052678836,433.6,439.6,843.408,318.72,0.012430812,0.034512715,0.020228875,0.020228875,0.037682187,0.019579742,0.095483433,0.079810898,0.08088236,0.027167936
Hyaena_hyaena,05Hyaenidae,terrestrial,pounce,carnivore,cat-hyper,tough,base,hyaendiae,base,base,hyaendiae,175.6695976,3.523985804,2.423670487,2.678216016,3.900015992,5.109919181,2.080833997,1.372010885,399,404.6666667,690.3166667,257.7666667,0.006728,0.010859852,0.006750843,0.006750843,0.011714632,0.071931915,0.031905192,0.031409079,0.084538754,0.005702957
Parahyaena_brunnea,05Hyaenidae,terrestrial,occasional,carnivore,cat-hyper,vert_flesh,base,hyaendiae,base,base,hyaendiae,175.9417276,3.419298578,2.231858181,2.755791469,3.942025133,4.504252847,2.658195999,1.419354839,400,415,726.84,263.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Proteles_cristata,05Hyaenidae,terrestrial,occasional,insectivore,cat-hyper,invertebrates,base,hyaendiae,base,base,hyaendiae,110.2637474,4.184179985,3.371420083,3.24768659,5.401957136,5.199195335,2.912053663,1.550498375,258.895,252.035,477.38,147.05,0.00761232,0.012324701,0.003606227,0.003606227,0.007372432,0.071454522,0.050375367,0.057511801,0.017867561,0.008500715
Cryptoprocta_ferox,06Eupleridae,semi_arboreal,pounce,carnivore,cat-hyper,vert_flesh,base,feliformia,base,base,feliformia,109.920748,5.51840708,3.588709677,4.33699115,4.267862542,5.578103597,4.54207094,1.716507177,269.9,216.4,490.08,113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fossa_fossana,06Eupleridae,terrestrial,pounce,omnivore,mesocarnivore,generalist,base,feliformia,base,base,feliformia,73.82558917,5.655034014,3.400554401,4.319795918,4.449910989,4.820185209,5.153698145,1.856449376,158.69,130.61,317.505,73.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Galidia_elegans,06Eupleridae,semi_arboreal,pounce,omnivore,mesocarnivore,generalist,base,feliformia,base,base,feliformia,54.21884908,6.58393361,3.122314008,5.142462649,3.826638553,6.208348425,5.844029879,1.869389064,120.34,98.96,247.0202083,48.125,0.069230405,0.023637337,0.016466005,0.016466005,0.023947489,0.04584823,0.043676132,0.055487247,0.089883474,0.067071914
Galidictis_fasciata,06Eupleridae,semi_arboreal,pounce,carnivore,mesocarnivore,vert_flesh,base,feliformia,base,base,feliformia,49.49447528,6.355567187,2.892515566,4.821585086,3.249676883,6.2605042,4.757574911,2.060948157,115.77,95.31,211.82,44.05,0.000786345,0.051017634,0.02305257,0.02305257,0.054765955,0.027124459,0.027793619,0.006647659,0.012309341,0.028384465
Salanoia_concolor,06Eupleridae,terrestrial,occasional,insectivore,mesocarnivore,invertebrates,base,feliformia,base,base,feliformia,51.0035986,6.038801102,2.851541302,4.650708806,3.607794819,6.092977273,5.491261599,1.959409768,119.22,97.88,221.8466667,47.76666667,0.008960673,0.022310517,0.007135923,0.007135923,0.024213464,0.03044313,0.015588641,0.01370457,0.07058913,0.021296665
Atilax_paludinosus,07Herpestidae,terrestrial,occasional,omnivore,mesocarnivore,tough,base,feliformia,base,base,feliformia,78.6464393,5.90824077,3.016854207,4.526444324,3.578961672,6.072768864,3.894805121,1.501575198,168.614,140.572,329.3,72.94,0.065764574,0.015733664,0.037262396,0.037262396,0.012257857,0.049869854,0.022344001,0.063917954,0.061419911,0.064683291
Bdeogale_crassicauda,07Herpestidae,terrestrial,occasional,omnivore,mesocarnivore,generalist,base,feliformia,base,base,feliformia,59.05638045,6.429395349,3.043676415,4.938418605,4.195234152,6.323219711,4.460821502,2.336693548,127.68,101.55,265.44,53.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bdeogale_nigripes,07Herpestidae,terrestrial,occasional,omnivore,mesocarnivore,generalist,base,feliformia,base,base,feliformia,101.6644642,5.083536585,3,5.083536585,3.657698298,6.332175986,4.346519513,1.835455935,182.7,158.63,416.85,82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crossarchus_obscurus,07Herpestidae,terrestrial,occasional,omnivore,omnivore,generalist,base,feliformia,base,base,feliformia,53.38806648,5.94286758,2.770581685,4.534645988,3.416012324,6.23022321,4.78691211,1.972130476,107.5375,86.4675,225.4075,49.7,0.02698178,0.003288573,0.034203269,0.034203269,0.006285136,0.033860332,0.020505301,0.078515433,0.063337877,0.027216011
Cynictis_penicillata,07Herpestidae,terrestrial,occasional,insectivore,weasel-hyper,invertebrates,base,feliformia,base,base,feliformia,52.91522636,5.646446802,2.515367268,4.512082265,4.677473623,5.578981866,5.813422387,2.49992057,116.165,102.575,242.195,53.65,0.066565168,0.044414159,0.043914044,0.043914044,0.059488589,0.082814574,0.016562274,0.004363644,0.016095279,0.015844755
Galerella_pulverulenta,07Herpestidae,terrestrial,pounce,omnivore,mesocarnivore,generalist,base,feliformia,base,base,feliformia,50.14668332,6.659302326,3.134300421,5.101627907,4.189009662,5.83197742,5.941096567,1.637775961,97.41,81.59,219.37,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Helogale_parvula,07Herpestidae,terrestrial,occasional,insectivore,omnivore,invertebrates,base,feliformia,base,base,feliformia,36.70954699,6.828474576,2.639470783,5.205423729,3.267093041,6.580409357,4.528764205,1.725616292,73.96,59.51,153.56,29.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Herpestes_brachyurus,07Herpestidae,terrestrial,occasional,omnivore,mesocarnivore,generalist,base,feliformia,base,base,feliformia,63.62702061,6.158002837,2.695678209,4.677000473,3.581438731,6.147652805,4.718696726,1.700265222,136.935,126.495,268.58,57.55,0.024758295,0.056593362,0.044788572,0.044788572,0.059514623,0.07474379,0.00817104,0.013212393,0.037682512,0.02172366
Herpestes_edwardsii,07Herpestidae,terrestrial,occasional,omnivore,mesocarnivore,generalist,base,feliformia,base,base,feliformia,58.82237124,6.209668679,3.333799996,4.801584172,3.580231986,5.625586104,4.97444505,1.854168592,118.35,94.145,253.955,52.9,0.014958246,0.031689637,0.004456585,0.004456585,0.039583671,0.082087218,0.061973712,0.007162835,0.037593824,0.007561581
Herpestes_ichneumon,07Herpestidae,terrestrial,occasional,omnivore,mesocarnivore,generalist,base,feliformia,base,base,feliformia,79.68596031,5.852335317,2.96912357,4.5422229,3.783986908,5.451534714,5.227574876,1.722949672,151.1333333,125.29,341.61,75.03333333,0.062845648,0.024891691,0.023782802,0.023782802,0.03770712,0.048490628,0.030177989,0.002164769,0.022349316,0.057424868
Herpestes_javanicus,07Herpestidae,terrestrial,occasional,omnivore,mesocarnivore,generalist,base,feliformia,base,base,feliformia,54.50891543,6.904,3.104716573,5.352648649,4.581583199,6.026096669,5.976135489,1.819767442,100.16,81.84,247.56,46.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Herpestes_sanguineus,07Herpestidae,terrestrial,pounce,omnivore,mesocarnivore,generalist,base,feliformia,base,base,feliformia,44.01686428,6.47377202,2.857122485,4.971946459,4.188796485,6.080592852,6.21945384,1.903091551,95.81666667,76.94666667,195.7325,39.45,0.034842824,0.021004038,0.007567516,0.007567516,0.024436695,0.037545701,0.023268208,0.027470041,0.030568988,0.036839325
Herpestes_urva,07Herpestidae,terrestrial,occasional,omnivore,mesocarnivore,generalist,base,feliformia,base,base,feliformia,75.69973983,5.814532872,2.765228426,4.60816609,4.12041137,5.441654357,5.465159492,1.808574879,146.6,113.51,332.94,72.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
